county,n_features,elapsed_s,output_path
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clayton,0,0.01,
Clayton,0,0.01,
Clear Creek,0,0.01,
Clearfield,0,0.01,
Clearwater,0,0.01,
Clearwater,0,0.01,
Cleburne,0,0.01,
Cleburne,0,0.02,
Clermont,0,0.01,
Cleveland,0,0.01,
Cleveland,0,0.01,
Cleveland,0,0.01,
Clinch,0,0.01,
Clinton,0,0.01,
Clinton,0,0.01,
Clinton,0,0.01,
Clinton,0,0.01,
Clinton,0,0.01,
Clinton,0,0.01,
Clinton,0,0.01,
Clinton,0,0.01,
Clinton,0,0.01,
Cloud,0,0.01,
Coahoma,0,0.01,
Coal,0,0.01,
Coamo,0,0.01,
Cobb,0,0.01,
Cochise,0,0.01,
Cochran,0,0.01,
Cocke,0,0.01,
Coconino,0,0.01,
Codington,0,0.01,
Coffee,0,0.01,
Coffee,0,0.01,
Coffee,0,0.04,
Coffey,0,0.01,
Coke,0,0.01,
Colbert,0,0.01,
Cole,0,0.01,
Coleman,0,0.01,
Coles,0,0.01,
Colfax,0,0.01,
Colfax,0,0.01,
Colleton,0,0.01,
Collier,0,0.01,
Collin,0,0.01,
Collingsworth,0,0.01,
Colonial Heights,0,0.01,
Colorado,0,0.01,
Colquitt,0,0.01,
Columbia,0,0.01,
Columbia,0,0.01,
Columbia,0,0.01,
Columbia,0,0.01,
Columbia,0,0.01,
Columbia,0,0.01,
Columbia,0,0.01,
Columbia,0,0.02,
Columbiana,0,0.01,
Columbus,0,0.01,
Colusa,605,0.03,Y:\personal\mcallahan\Business\WattsonWater\DATA\Hydrography\County_NHD\Colusa\Colusa_waterbodies.shp
Comal,0,0.01,
Comanche,0,0.01,
Comanche,0,0.01,
Comanche,0,0.01,
Comero,0,0.01,
Concho,0,0.01,
Concordia,0,0.01,
Conecuh,0,0.01,
Conejos,0,0.01,
Contra Costa,1472,0.08,Y:\personal\mcallahan\Business\WattsonWater\DATA\Hydrography\County_NHD\Contra_Costa\Contra_Costa_waterbodies.shp
Converse,0,0.01,
Conway,0,0.01,
Cook,0,0.01,
Cook,0,0.01,
Cook,0,0.01,
Cooke,0,0.02,
Cooper,0,0.01,
Coos,0,0.01,
Coos,0,0.01,
Coosa,0,0.01,
Copiah,0,0.01,
Copper River,0,0.01,
Corozal,0,0.01,
Corson,0,0.01,
Cortland,0,0.01,
Coryell,0,0.01,
Coshocton,0,0.01,
Costilla,0,0.01,
Cottle,0,0.01,
Cotton,0,0.01,
Cottonwood,0,0.01,
Covington,0,0.01,
Covington,0,0.01,
Covington,0,0.01,
Coweta,0,0.01,
Cowley,0,0.01,
Cowlitz,0,0.01,
Craig,0,0.01,
Craig,0,0.01,
Craighead,0,0.01,
Crane,0,0.01,
Craven,0,0.01,
Crawford,0,0.01,
Crawford,0,0.01,
Crawford,0,0.01,
Crawford,0,0.01,
Crawford,0,0.01,
Crawford,0,0.01,
Crawford,0,0.01,
Crawford,0,0.01,
Crawford,0,0.01,
Crawford,0,0.01,
Crawford,0,0.01,
Creek,0,0.01,
Crenshaw,0,0.01,
Crisp,0,0.01,
Crittenden,0,0.01,
Crittenden,0,0.01,
Crockett,0,0.01,
Crockett,0,0.01,
Crook,0,0.01,
Crook,0,0.01,
Crosby,0,0.01,
Cross,0,0.01,
Crow Wing,0,0.01,
Crowley,0,0.01,
Culberson,0,0.01,
Culebra,0,0.01,
Cullman,0,0.01,
Culpeper,0,0.01,
Cumberland,0,0.01,
Cumberland,0,0.01,
Cumberland,0,0.01,
Cumberland,0,0.01,
Cumberland,0,0.01,
Cumberland,0,0.01,
Cumberland,0,0.01,
Cumberland,0,0.01,
Cuming,0,0.01,
Currituck,0,0.01,
Curry,0,0.01,
Curry,1,0.01,Y:\personal\mcallahan\Business\WattsonWater\DATA\Hydrography\County_NHD\Curry\Curry_waterbodies.shp
Custer,0,0.01,
Custer,0,0.01,
Custer,0,0.01,
Custer,0,0.01,
Custer,0,0.01,
Custer,0,0.02,
Cuyahoga,0,0.01,
Dade,0,0.01,
Dade,0,0.01,
Daggett,0,0.01,
Dakota,0,0.01,
Dakota,0,0.01,
Dale,0,0.01,
Dallam,0,0.01,
Dallas,0,0.01,
Dallas,0,0.01,
Dallas,0,0.01,
Dallas,0,0.01,
Dallas,0,0.01,
Dane,0,0.01,
Daniels,0,0.01,
Danville,0,0.01,
Dare,0,0.01,
Darke,0,0.01,
Darlington,0,0.01,
Dauphin,0,0.01,
Davidson,0,0.01,
Davidson,0,0.01,
Davie,0,0.01,
Daviess,0,0.01,
Daviess,0,0.01,
Daviess,0,0.01,
Davis,0,0.01,
Davis,0,0.01,
Davison,0,0.01,
Dawes,0,0.01,
Dawson,0,0.01,
Dawson,0,0.01,
Dawson,0,0.01,
Dawson,0,0.01,
Day,0,0.01,
De Soto,0,0.01,
De Witt,0,0.01,
DeBaca,0,0.01,
DeKalb,0,0.01,
DeKalb,0,0.01,
DeKalb,0,0.01,
DeKalb,0,0.01,
DeKalb,0,0.01,
DeKalb,0,0.01,
DeSoto,0,0.01,
DeSoto,0,0.01,
DeWitt,0,0.01,
Deaf Smith,0,0.01,
Dearborn,0,0.01,
Decatur,0,0.01,
Decatur,0,0.01,
Decatur,0,0.01,
Decatur,0,0.01,
Decatur,0,0.01,
Deer Lodge,0,0.01,
Defiance,0,0.01,
Del Norte,241,0.04,Y:\personal\mcallahan\Business\WattsonWater\DATA\Hydrography\County_NHD\Del_Norte\Del_Norte_waterbodies.shp
Delaware,0,0.01,
Delaware,0,0.01,
Delaware,0,0.01,
Delaware,0,0.01,
Delaware,0,0.01,
Delaware,0,0.02,
Delta,0,0.01,
Delta,0,0.01,
Delta,0,0.01,
Denali,0,0.01,
Dent,0,0.01,
Denton,0,0.01,
Denver,0,0.01,
Des Moines,0,0.01,
Deschutes,0,0.01,
Desha,0,0.01,
Deuel,0,0.01,
Deuel,0,0.01,
Dewey,0,0.01,
Dewey,0,0.01,
Dickens,0,0.01,
Dickenson,0,0.01,
Dickey,0,0.01,
Dickinson,0,0.01,
Dickinson,0,0.01,
Dickinson,0,0.01,
Dickson,0,0.01,
Dillingham,0,0.01,
Dillon,0,0.01,
Dimmit,0,0.01,
Dinwiddie,0,0.01,
Divide,0,0.01,
Dixie,0,0.01,
Dixon,0,0.01,
Doddridge,0,0.01,
Dodge,0,0.01,
Dodge,0,0.01,
Dodge,0,0.01,
Dodge,0,0.01,
Dolores,0,0.01,
Doniphan,0,0.01,
Donley,0,0.01,
Dooly,0,0.01,
Door,0,0.01,
Dorado,0,0.01,
Dorchester,0,0.01,
Dorchester,0,0.01,
Dougherty,0,0.01,
Douglas,0,0.01,
Douglas,0,0.01,
Douglas,0,0.01,
Douglas,0,0.01,
Douglas,0,0.01,
Douglas,0,0.01,
Douglas,0,0.01,
Douglas,0,0.01,
Douglas,0,0.01,
Douglas,0,0.01,
Douglas,0,0.01,
Douglas,5,0.01,Y:\personal\mcallahan\Business\WattsonWater\DATA\Hydrography\County_NHD\Douglas\Douglas_waterbodies.shp
Doña Ana,0,0.01,
Drew,0,0.01,
DuPage,0,0.01,
Dubois,0,0.01,
Dubuque,0,0.01,
Duchesne,0,0.01,
Dukes,0,0.01,
Dundy,0,0.01,
Dunklin,0,0.01,
